"date","death","deathIncrease","inIcuCumulative","inIcuCurrently","hospitalizedIncrease","hospitalizedCurrently","hospitalizedCumulative","negative","negativeIncrease","onVentilatorCumulative","onVentilatorCurrently","positive","positiveIncrease","states","totalTestResults","totalTestResultsIncrease"
"2020-06-26",118558,618,10334,5290,1542,31850,235948,11330989,220349,966,2069,2451813,44340,56,32253713,793454
"2020-06-25",117940,648,10257,5319,1296,31922,234406,11110640,247894,951,2214,2407473,39707,56,31460259,715570
"2020-06-24",117292,704,10173,5292,1246,31270,233110,10862746,184637,934,2247,2367766,39117,56,30744689,562962
"2020-06-23",116588,724,10077,5392,1271,30355,231864,10678109,171427,918,2292,2328649,33447,56,30181727,670015
"2020-06-22",115864,288,10002,5325,824,28963,230593,10506682,166595,909,2301,2295202,26829,56,29511712,499163
"2020-06-21",115576,293,9944,5195,519,28325,229769,10340087,172865,904,2321,2268373,29188,56,29012549,505598
"2020-06-20",115283,615,9908,5229,699,28084,229250,10167222,198745,888,2380,2239185,32236,56,28506951,611463
"2020-06-19",114668,652,9876,5337,1578,28693,228551,9968477,234737,884,2433,2206949,30865,56,27895488,663567
"2020-06-18",114016,682,9736,5472,1108,28538,226973,9733740,185993,869,2518,2176084,27042,56,27231921,556712
"2020-06-17",113334,780,9665,5608,1077,28647,225865,9547747,193666,857,2584,2149042,24153,56,26675209,561448
"2020-06-16",112554,720,9590,5570,1184,28370,224788,9354081,180528,845,2591,2124889,22838,56,26113761,504724
"2020-06-15",111834,385,9516,5700,664,28034,223604,9173553,167343,835,2636,2102051,18255,56,25609037,448011
"2020-06-14",111449,355,9466,5749,610,28020,222940,9006210,169214,834,2716,2083796,21658,56,25161026,477533
"2020-06-13",111094,694,9430,5883,954,28578,222330,8836996,197530,830,2726,2062138,25453,56,24683493,544608
"2020-06-12",110400,766,9373,6009,1376,29306,221376,8639466,228304,814,2738,2036685,23141,56,24138885,623384
"2020-06-11",109634,896,9295,6075,1526,29850,220000,8411162,149629,792,2885,2013544,21991,56,23515501,484979
"2020-06-10",108738,893,9225,6256,1239,30961,218474,8261533,168836,780,3022,1991553,20880,56,23030522,482620
"2020-06-09",107845,886,9141,6453,1279,31179,217235,8092697,155350,771,3088,1970673,16916,56,22547902,454850
"2020-06-08",106959,675,9013,6398,1071,31105,215956,7937347,132298,762,3238,1953757,16923,56,22093052,405793
"2020-06-07",106284,447,8957,6501,655,31490,214885,7805049,188348,753,3298,1936834,19056,56,21687259,434862
"2020-06-06",105837,714,8920,6762,989,31994,214230,7616701,224192,750,3476,1917778,22746,56,21252397,557957
"2020-06-05",105123,835,8863,6921,1518,32502,213241,7392509,233592,740,3520,1895032,23050,56,20694440,624244
"2020-06-04",104288,883,8787,7044,-2856,32802,211723,7158917,180430,723,3662,1871982,20477,56,20070196,498869
"2020-06-03",103405,975,8688,7229,2145,33227,214579,6978487,185773,717,3754,1851505,20182,56,19571327,504449
"2020-06-02",102430,971,8566,7410,1735,33956,212434,6792714,161590,710,3854,1831323,19879,56,19066878,449048
"2020-06-01",101459,679,8485,7592,2862,34325,210699,6631124,158114,704,3950,1811444,20101,56,18617830,419427
"2020-05-31",100780,655,8445,7625,895,34925,207837,6473010,147185,704,3669,1791343,21641,56,18198403,430493
"2020-05-30",100125,923,8305,7960,1421,35759,206942,6325825,167649,698,4008,1769702,23596,56,17767910,457174
"2020-05-29",99202,1174,8235,8170,1571,36942,205521,6158176,196292,689,4028,1746106,23618,56,17310736,534228
"2020-05-28",98028,1235,8109,8392,1594,38000,203950,5961884,188257,676,4079,1722488,22799,56,16776508,493996
"2020-05-27",96793,1335,8015,8552,1561,38300,202356,5773627,151062,666,4223,1699689,19172,56,16282512,416554
"2020-05-26",95458,665,7899,8580,17287,37751,200795,5622565,112350,650,4221,1680517,16690,56,15865958,315330
"2020-05-25",94793,556,7847,8467,898,37703,183508,5510215,167919,642,4232,1663827,18555,56,15550628,408047
"2020-05-24",94237,688,7801,8491,1028,37742,182610,5342296,128061,639,4380,1645272,19062,56,15142581,389319
"2020-05-23",93549,1040,7770,8739,1385,38625,181582,5214235,118220,638,4621,1626210,22561,56,14753262,444574
"2020-05-22",92509,1290,7689,9042,3949,40008,180197,5096015,172853,633,4714,1603649,24115,56,14308688,453783
"2020-05-21",91219,1380,7412,9092,4547,41359,176248,4923162,228097,616,4871,1579534,26831,56,13854905,508832
"2020-05-20",89839,1397,7319,9522,1756,41856,171701,4695065,167279,613,4907,1552703,21293,56,13346073,450292
"2020-05-19",88442,1317,7217,9598,1548,42023,169945,4527786,165975,606,5032,1531410,20687,56,12895781,420506
"2020-05-18",87125,854,7064,9748,1132,41940,168397,4361811,127310,602,5260,1510723,20597,56,12475275,349995
"2020-05-17",86271,873,7003,9945,1134,42019,167265,4234501,140015,593,5467,1490126,20436,56,12125280,351153
"2020-05-16",85398,1237,6945,10276,1796,43515,166131,4094486,130077,592,5532,1469690,23743,56,11774127,392591
"2020-05-15",84161,1538,6890,10476,1314,44553,164335,3964409,123836,589,5744,1445947,25490,56,11381536,406415
"2020-05-14",82623,1853,6795,10655,3160,45923,163021,3840573,137271,582,5940,1420457,26773,56,10975121,391455
"2020-05-13",80770,1730,6713,10991,1786,46921,159861,3703302,116695,572,6164,1393684,21500,56,10583666,345138
"2020-05-12",79040,1509,6585,11241,1486,47343,158075,3586607,109273,559,6350,1372184,22442,56,10238528,339232
"2020-05-11",77531,891,6488,11153,1374,46550,156589,3477334,207145,551,6349,1349742,18140,56,9899296,374214
"2020-05-10",76640,1035,6445,11382,1043,46735,155215,3270189,93962,547,6392,1331602,21116,56,9525082,275936
"2020-05-09",75605,1456,6367,11504,1680,48581,154172,3176227,111242,543,6550,1310486,25320,56,9249146,323737
"2020-05-08",74149,1784,6294,11786,6230,49770,152492,3064985,104963,531,6793,1285166,27197,56,8925409,312586
"2020-05-07",72365,2748,5174,12135,4191,51445,146262,2960022,93943,529,7067,1257969,27229,56,8612823,330008
"2020-05-06",69617,1918,4911,12480,2154,52609,142071,2866079,89076,449,4758,1230740,25256,56,8282815,284216
"2020-05-05",67699,2490,4794,12620,1932,53164,139917,2777003,104879,439,4810,1205484,22344,56,7998599,278449
"2020-05-04",65209,1028,4579,12701,1765,52375,137985,2672124,89245,430,4852,1183140,22195,56,7720150,236185
"2020-05-03",64181,1248,4502,12724,1855,52623,136220,2582879,95643,425,4762,1160945,25789,56,7483965,240968
"2020-05-02",62933,1527,4386,12904,1995,54008,134365,2487236,79105,375,4846,1135156,29196,56,7242997,272239
"2020-05-01",61406,1809,4300,12861,9874,54897,132370,2408131,104558,376,4712,1105960,32808,56,6970758,285823
"2020-04-30",59597,2160,4192,13246,2382,54905,122496,2303573,81678,373,4708,1073152,30046,56,6684935,275561
"2020-04-29",57437,2676,4093,13550,2946,56009,120114,2221895,87461,365,4803,1043106,26176,56,6409374,256119
"2020-04-28",54761,2078,3798,13562,2014,56034,117168,2134434,69320,252,4760,1016930,25234,56,6153255,216665
"2020-04-27",52683,1290,3720,13812,2245,56183,115154,2065114,62965,252,4867,991696,22407,56,5936590,194539
"2020-04-26",51393,1219,2571,14093,2215,56161,112909,2002149,75323,227,5119,969289,27314,56,5742051,205794
"2020-04-25",50174,1629,2516,14411,2297,57340,110694,1926826,104803,227,5266,941975,35734,56,5536257,276303
"2020-04-24",48545,1974,2468,14623,2388,57370,108397,1822023,83279,227,5194,906241,34226,56,5259954,245379
"2020-04-23",46571,1809,2428,14737,2820,59214,106009,1738744,64842,227,5463,872015,31953,56,5014575,218113
"2020-04-22",44762,2085,2370,15016,3086,59207,103189,1673902,-214153,227,5474,840062,29176,56,4796462,334406
"2020-04-21",42677,2479,2315,14945,2736,59779,100103,1888055,63914,214,5514,810886,26039,56,4462056,166966
"2020-04-20",40198,1816,2193,14463,2309,56721,97367,1824141,70851,214,5569,784847,25967,56,4295090,144633
"2020-04-19",38382,1763,2145,14385,2177,56497,95058,1753290,69050,214,5603,758880,27523,56,4150457,148926
"2020-04-18",36619,1895,2096,14764,3440,57799,92881,1684240,70405,205,5733,731357,27950,56,4001531,171880
"2020-04-17",34724,2118,2052,14910,3366,58892,89441,1613835,69199,187,6098,703407,31984,56,3829651,172149
"2020-04-16",32606,2194,1834,15136,3172,59496,86075,1544636,79739,176,5940,671423,31527,56,3657502,183046
"2020-04-15",30412,2545,1783,14639,3502,59930,82903,1464897,57904,223,6033,639896,29983,56,3474456,149278
"2020-04-14",27867,2352,1715,14047,3172,59610,79401,1406993,73584,221,5981,609913,25912,56,3325178,160255
"2020-04-13",25515,1633,1622,13605,4491,56211,76229,1333409,58602,208,6170,584001,24252,56,3164923,125624
"2020-04-12",23882,1700,1449,13597,3322,55294,71738,1274807,67738,158,5962,559749,28127,56,3039299,140609
"2020-04-11",22182,2075,1399,13293,3735,55563,68416,1207069,62940,152,5986,531622,31282,56,2898690,158723
"2020-04-10",20107,2083,1179,12693,4911,53167,64681,1144129,56160,39,5937,500340,33732,56,2739967,155676
"2020-04-09",18024,2051,918,12445,3829,51323,59770,1087969,82730,39,5798,466608,34961,56,2584291,170558
"2020-04-08",15973,2003,862,10276,4387,45359,55941,1005239,68030,39,4142,431647,30996,56,2413733,165594
"2020-04-07",13970,2038,738,9978,2931,43849,51554,937209,78959,43,4047,400651,30430,56,2248139,170116
"2020-04-06",11932,1314,663,7079,2962,36159,48623,858250,69818,39,2961,370221,28262,56,2078023,137710
"2020-04-05",10618,1342,609,5811,3953,32180,45661,788432,33778,39,650,341959,25877,56,1940313,129555
"2020-04-04",9276,1478,403,5500,4993,30456,41708,754654,143471,39,656,316082,33102,56,1810758,231172
"2020-04-03",7798,1287,335,4928,4621,25723,36715,611183,54867,39,623,282980,31838,56,1579586,142351
"2020-04-02",6511,1175,305,4513,4164,22995,32094,556316,51001,32,576,251142,28071,56,1437235,130666
"2020-04-01",5336,1006,256,3937,4148,20906,27930,505315,44838,32,561,223071,26257,56,1306569,123021
"2020-03-31",4330,908,230,3487,3995,18155,23782,460477,44084,,506,196814,24947,56,1183548,114567
"2020-03-30",3422,585,187,3087,2473,15892,19787,416393,50637,,449,171867,21187,56,1068981,100592
"2020-03-29",2837,505,156,2456,2797,14055,17314,365756,42230,,433,150680,19681,56,968389,87451
"2020-03-28",2332,551,140,2174,2406,12393,14517,323526,67866,,390,130999,19780,56,880938,111615
"2020-03-27",1781,410,124,1792,2589,10887,12111,255660,45279,,293,111219,19223,56,769323,101375
"2020-03-26",1371,313,91,1299,2449,7805,9522,210381,42610,,258,91996,17604,56,667948,106554
"2020-03-25",1058,241,74,,1954,5140,7073,167771,33269,,167,74392,12636,56,561394,82501
"2020-03-24",817,236,,,1186,3938,5119,134502,33117,,,61756,10883,56,478893,86611
"2020-03-23",581,101,,,950,2812,3933,101385,21323,,,50873,11182,56,392282,57311
"2020-03-22",480,145,,,962,2173,2983,80062,12427,,,39691,9229,56,334971,52169
"2020-03-21",335,62,,,1849,1492,2021,67635,16003,,,30462,6940,56,282802,52201
"2020-03-20",273,70,,,44,1042,172,51632,11704,,,23522,6095,56,230601,49507
"2020-03-19",203,51,,,34,617,128,39928,8359,,,17427,4611,56,181094,39211
"2020-03-18",152,28,,,18,416,94,31569,5452,,,12816,3352,56,141883,32127
"2020-03-17",124,22,,,33,325,76,26117,5027,,,9464,2087,56,109756,26768
"2020-03-16",102,22,,,6,,43,21090,11462,,,7377,1713,56,82988,22954
"2020-03-15",80,15,,,10,,37,9628,2571,,,5664,1288,51,60034,10202
"2020-03-14",65,8,,,4,,27,7057,1616,,,4376,1026,51,49832,9816
"2020-03-13",57,5,,,6,,23,5441,1149,,,3350,845,51,40016,9733
"2020-03-12",52,9,,,5,,17,4292,991,,,2505,682,51,30283,6683
"2020-03-11",43,6,,,3,,12,3301,1021,,,1823,418,51,23600,4447
"2020-03-10",37,2,,,0,,9,2280,494,,,1405,385,51,19153,3322
"2020-03-09",35,4,,,3,,9,1786,442,,,1020,276,51,15831,2055
"2020-03-08",31,4,,,0,,6,1344,196,,,744,170,51,13776,1130
"2020-03-07",27,1,,,0,,6,1148,274,,,574,137,51,12646,931
"2020-03-06",26,6,,,1,,6,874,161,,,437,132,40,11715,2177
"2020-03-05",20,4,,,1,,5,713,132,,,305,65,32,9538,1515
"2020-03-04",16,2,,,4,,4,581,576,,,240,126,26,8023,890
"2020-03-03",14,3,,,0,,,5,2,,,114,42,16,7133,279
"2020-03-02",11,3,,,0,,,3,1,,,72,30,12,6854,203
"2020-03-01",8,3,,,0,,,2,2,,,42,24,11,6651,96
"2020-02-29",5,1,,,0,,,,0,,,18,3,8,6555,65
"2020-02-28",4,2,,,0,,,,0,,,15,2,7,6490,3
"2020-02-27",2,0,,,0,,,,0,,,13,1,7,6487,6446
"2020-02-26",2,2,,,0,,,,0,,,12,2,6,41,0
"2020-02-25",0,0,,,0,,,,0,,,10,1,6,41,1
"2020-02-24",0,0,,,0,,,,0,,,9,1,6,40,2
"2020-02-23",0,0,,,0,,,,0,,,8,1,6,38,0
"2020-02-22",0,0,,,0,,,,0,,,7,0,6,38,1
"2020-02-21",0,0,,,0,,,,0,,,7,0,6,37,1
"2020-02-20",0,0,,,0,,,,0,,,7,0,6,36,1
"2020-02-19",0,0,,,0,,,,0,,,7,0,6,35,6
"2020-02-18",0,0,,,0,,,,0,,,7,0,6,29,0
"2020-02-17",0,0,,,0,,,,0,,,7,0,6,29,1
"2020-02-16",0,0,,,0,,,,0,,,7,0,6,28,2
"2020-02-15",0,0,,,0,,,,0,,,7,0,6,26,4
"2020-02-14",0,0,,,0,,,,0,,,7,1,5,22,0
"2020-02-13",0,0,,,0,,,,0,,,6,1,5,22,1
"2020-02-12",0,0,,,0,,,,0,,,5,0,5,21,1
"2020-02-11",0,0,,,0,,,,0,,,5,0,5,20,1
"2020-02-10",0,0,,,0,,,,0,,,5,0,5,19,1
"2020-02-09",,0,,,0,,,,0,,,5,0,4,18,0
"2020-02-08",,0,,,0,,,,0,,,5,0,4,18,2
"2020-02-07",,0,,,0,,,,0,,,5,0,4,16,0
"2020-02-06",,0,,,0,,,,0,,,5,2,4,16,1
"2020-02-05",,0,,,0,,,,0,,,3,0,4,15,0
"2020-02-04",,0,,,0,,,,0,,,3,0,4,15,4
"2020-02-03",,0,,,0,,,,0,,,3,1,4,11,3
"2020-02-02",,0,,,0,,,,0,,,2,0,4,8,0
"2020-02-01",,0,,,0,,,,0,,,2,0,4,8,0
"2020-01-31",,0,,,0,,,,0,,,2,0,4,8,3
"2020-01-30",,0,,,0,,,,0,,,2,0,4,5,0
"2020-01-29",,0,,,0,,,,0,,,2,0,4,5,2
"2020-01-28",,0,,,0,,,,0,,,2,0,3,3,0
"2020-01-27",,0,,,0,,,,0,,,2,0,3,3,1
"2020-01-26",,0,,,0,,,,0,,,2,0,2,2,0
"2020-01-25",,0,,,0,,,,0,,,2,0,2,2,0
"2020-01-24",,0,,,0,,,,0,,,2,0,2,2,0
"2020-01-23",,0,,,0,,,,0,,,2,0,2,2,1
"2020-01-22",,0,,,0,,,,0,,,2,0,2,1,1
"2020-01-21",,0,,,0,,,,0,,,2,1,1,0,0
"2020-01-20",,0,,,0,,,,0,,,1,0,1,0,0
"2020-01-19",,0,,,0,,,,0,,,1,1,1,0,0
"2020-01-18",,0,,,0,,,,0,,,0,0,1,0,0
"2020-01-17",,0,,,0,,,,0,,,0,0,1,0,0
"2020-01-16",,0,,,0,,,,0,,,0,0,1,0,0
"2020-01-15",,0,,,0,,,,0,,,0,0,1,0,0
"2020-01-14",,0,,,0,,,,0,,,0,0,1,0,0
"2020-01-13",,0,,,0,,,,0,,,,0,1,0,0
